timestamp,episode,total_reward,success,epsilon,steps,time_taken,distance_traveled
2025-05-16T12:45:33.230903,790,101285.5,1,0.13495188042020437,790,47,100
2025-05-16T12:47:37.873915,791,137068.5,1,0.13427712101810335,791,43,100
2025-05-16T12:48:20.877366,792,46184.5,1,0.13360573541301282,792,40,100
2025-05-16T12:49:08.513049,793,50239.5,1,0.13293770673594776,793,44,100
2025-05-16T12:50:34.491132,794,98853.0,1,0.13227301820226803,794,43,100
2025-05-16T12:51:26.364076,795,50233.0,1,0.1316116531112567,795,49,100
2025-05-16T12:53:25.196089,796,130385.0,1,0.1309535948457004,796,41,100
2025-05-16T12:54:14.300350,797,53165.5,1,0.1302988268714719,797,46,100
2025-05-16T12:57:50.017366,798,226512.5,1,0.12964733273711454,798,59,100
2025-05-16T12:58:36.514331,799,50018.5,1,0.12899909607342896,799,43,100
2025-05-16T13:00:02.167170,800,93621.5,1,0.12835410059306182,800,45,100
2025-05-16T13:00:48.568788,801,47508.0,1,0.1277123300900965,801,43,100
2025-05-16T13:01:35.711944,802,51001.0,1,0.12707376843964602,802,44,100
2025-05-16T13:02:58.205560,803,90108.5,1,0.1264383995974478,803,44,100
2025-05-16T13:03:45.180796,804,49887.5,1,0.12580620759946054,804,44,100
2025-05-16T13:04:32.155864,805,48864.5,1,0.12517717656146324,805,44,100
2025-05-16T13:05:22.026764,806,54908.0,1,0.12455129067865592,806,47,100
2025-05-16T13:06:08.225752,807,47447.5,1,0.12392853422526263,807,43,100
2025-05-16T13:07:19.920573,808,77427.0,1,0.12330889155413632,808,43,100
2025-05-16T13:11:08.893665,809,251154.5,1,0.12269234709636564,809,48,0
2025-05-16T13:12:31.933642,810,88559.0,1,0.12207888536088382,810,48,100
2025-05-16T13:14:10.494595,811,97470.5,1,0.1214684909340794,811,54,100
2025-05-16T13:15:48.099808,812,100986.5,1,0.120861148479409,812,49,100
2025-05-16T13:16:39.457781,813,54617.0,1,0.12025684273701195,813,48,100
2025-05-16T13:18:16.131129,814,105292.5,1,0.11965555852332689,814,48,100
2025-05-16T13:20:44.269916,815,146491.5,1,0.11905728073071026,815,50,0
2025-05-16T13:21:30.922013,816,48594.0,1,0.1184619943270567,816,44,100
2025-05-16T13:22:22.241632,817,50506.5,1,0.11786968435542142,817,48,100
2025-05-16T13:23:15.829465,818,57805.0,1,0.11728033593364431,818,50,100
2025-05-16T13:24:18.752996,819,61739.5,1,0.11669393425397609,819,60,100
2025-05-16T13:25:14.952709,820,53878.0,1,0.11611046458270621,820,53,100
2025-05-16T13:26:08.598943,821,53512.0,1,0.11552991225979269,821,50,100
2025-05-16T13:27:00.479585,822,52967.5,1,0.11495226269849372,822,48,100
2025-05-16T13:28:03.584200,823,36930.5,0,0.11437750138500125,823,60,22.863070539419088
2025-05-16T13:28:50.982988,824,44131.5,1,0.11380561387807624,824,44,100
2025-05-16T13:29:46.118240,825,55159.0,1,0.11323658580868586,825,52,100
2025-05-16T13:31:15.780499,826,87611.5,1,0.11267040287964243,826,44,100
2025-05-16T13:33:42.274271,827,155362.5,1,0.11210705086524422,827,49,100
2025-05-16T13:34:37.710511,828,51430.0,1,0.111546515610918,828,52,100
2025-05-16T13:36:11.599473,829,99691.0,1,0.1109887830328634,829,49,100
2025-05-16T13:37:04.580939,830,54562.0,1,0.11043383911769908,830,50,100
2025-05-16T13:37:59.184481,831,54358.5,1,0.10988166992211058,831,51,100
2025-05-16T13:38:49.949254,832,54187.5,1,0.10933226157250003,832,48,100
2025-05-16T13:40:32.395988,833,101450.5,1,0.10878560026463753,833,57,100
2025-05-16T13:41:31.251724,834,54580.0,1,0.10824167226331434,834,56,100
2025-05-16T13:42:28.570259,835,52474.5,1,0.10770046390199776,835,54,100
2025-05-16T13:44:37.512649,836,131964.0,1,0.10716196158248778,836,48,100
2025-05-16T13:46:05.130369,837,92712.0,1,0.10662615177457534,837,48,100
2025-05-16T13:46:56.256707,838,48664.5,1,0.10609302101570246,838,48,100
2025-05-16T13:47:47.282217,839,48697.5,1,0.10556255591062395,839,48,100
2025-05-16T13:48:50.966166,840,64182.5,0,0.10503474313107083,840,60,86.09375
2025-05-16T13:52:44.183603,841,246605.0,1,0.10450956941541548,841,51,100
2025-05-16T13:53:33.447651,842,53131.0,1,0.1039870215683384,842,46,100
2025-05-16T13:55:39.671104,843,128812.0,1,0.10346708646049671,843,59,100
2025-05-16T13:57:26.376223,844,54741.0,0,0.10294975102819423,844,61,10.80392156862745
2025-05-16T13:58:29.893265,845,47002.0,0,0.10243500227305326,845,60,25.687645687645688
2025-05-16T13:59:22.880237,846,58042.5,1,0.10192282726168798,846,49,100
2025-05-16T14:01:58.450418,847,155498.5,1,0.10141321312537954,847,55,100
2025-05-16T14:05:59.535368,848,246470.5,1,0.10090614705975265,848,58,100
2025-05-16T14:09:12.895173,849,203272.5,1,0.10040161632445388,849,48,100
2025-05-16T14:10:06.372110,850,53166.5,1,0.1,850,50,100
2025-05-16T14:10:56.348374,851,44660.5,1,0.24875,851,47,100
2025-05-16T14:12:34.105530,852,97716.0,1,0.24750625,852,48,0
2025-05-16T14:13:20.073002,853,45652.0,1,0.24626871875,853,43,100
2025-05-16T14:14:05.021081,854,45769.5,1,0.24503737515625001,854,42,100
2025-05-16T14:14:48.039362,855,40864.5,1,0.24381218828046877,855,40,100
2025-05-16T14:15:32.892995,856,41835.5,1,0.24259312733906643,856,41,100
2025-05-16T14:16:58.848752,857,87746.0,1,0.2413801617023711,857,43,100
2025-05-16T14:17:44.596573,858,45020.5,1,0.24017326089385924,858,42,100
2025-05-16T14:19:05.836969,859,82141.5,1,0.23897239458938993,859,43,100
2025-05-16T14:19:54.864398,860,47903.0,1,0.23777753261644297,860,46,100
2025-05-16T14:20:44.225746,861,46942.5,1,0.23658864495336074,861,46,100
2025-05-16T14:21:28.721287,862,43236.0,1,0.23540570172859393,862,41,100
2025-05-16T14:22:13.868171,863,47036.0,1,0.23422867321995097,863,41,99.27927927927928
2025-05-16T14:22:57.917714,864,41077.0,1,0.23305752985385123,864,41,99.27927927927928
2025-05-16T14:25:10.328298,865,124789.0,1,0.23189224220458196,865,49,100
2025-05-16T14:58:10.009331,865,46747.5,1,0.23189224220458196,865,46,100
2025-05-16T14:58:54.297542,866,45184.5,1,0.23073278099355904,866,41,100
2025-05-16T14:59:40.530143,867,45149.0,1,0.22957911708859124,867,43,100
2025-05-16T15:00:26.455715,868,46881.0,1,0.2284312215031483,868,43,100
2025-05-16T15:01:10.649322,869,46371.0,1,0.22728906539563254,869,41,100
2025-05-16T15:01:52.036466,870,41425.5,1,0.2261526200686544,870,38,96.63716814159292
2025-05-16T15:02:34.027918,871,43085.5,1,0.22502185696831112,871,39,100
2025-05-16T15:03:16.183483,872,44193.0,1,0.22389674768346957,872,39,100
2025-05-16T15:03:58.083841,873,42690.5,1,0.2227772639450522,873,39,100
2025-05-16T15:04:46.425369,874,50268.5,1,0.22166337762532695,874,45,100
2025-05-16T15:05:31.792222,875,48149.0,1,0.22055506073720033,875,42,100
2025-05-16T15:06:18.302733,876,49118.0,1,0.21945228543351433,876,43,96.66666666666667
2025-05-16T15:07:03.161298,877,44416.5,1,0.21835502400634677,877,42,100
2025-05-16T15:07:46.270977,878,44587.5,1,0.21726324888631504,878,40,100
2025-05-16T15:08:34.423189,879,52041.0,1,0.21617693264188345,879,45,99.27927927927928
2025-05-16T15:09:53.163978,880,82525.5,1,0.21509604797867404,880,39,100
2025-05-16T15:10:39.493661,881,49337.5,1,0.21402056773878067,881,43,100
2025-05-16T15:11:21.036003,882,41707.0,1,0.21295046490008676,882,38,100
2025-05-16T15:12:12.891605,883,56005.0,1,0.21188571257558633,883,49,100
2025-05-16T15:12:59.107965,884,48276.5,1,0.2108262840127084,884,43,100
2025-05-16T15:13:44.106910,885,46294.0,1,0.20977215259264484,885,42,100
2025-05-16T15:14:26.585588,886,42191.5,1,0.2087232918296816,886,39,100
2025-05-16T15:15:11.953707,887,45443.0,1,0.2076796753705332,887,42,100
2025-05-16T15:15:55.885480,888,47311.5,1,0.20664127699368054,888,41,100
2025-05-16T15:16:39.434014,889,44605.5,1,0.20560807060871214,889,40,100
2025-05-16T15:17:25.679389,890,49190.5,1,0.20458003025566857,890,43,100
2025-05-16T15:18:12.221211,891,49286.0,1,0.20355713010439022,891,43,100
2025-05-16T15:18:54.344758,892,44586.0,1,0.20253934445386826,892,39,99.27927927927928
2025-05-16T15:20:05.087845,893,74999.5,1,0.20152664773159892,893,37,100
2025-05-16T15:20:52.956065,894,49895.0,1,0.20051901449294093,894,44,100
2025-05-16T15:21:38.397356,895,48343.5,1,0.19951641942047624,895,42,100
2025-05-16T15:22:23.585490,896,45440.0,1,0.19851883732337386,896,42,100
2025-05-16T15:23:10.197059,897,48947.5,1,0.19752624313675698,897,43,100
2025-05-16T15:23:52.821145,898,43352.0,1,0.1965386119210732,898,39,100
2025-05-16T15:25:18.347927,899,89170.5,1,0.19555591886146784,899,43,100
2025-05-16T15:26:06.403392,900,44591.0,1,0.1945781392671605,900,45,100
2025-05-16T15:26:57.019555,901,46802.0,1,0.1936052485708247,901,46,100
2025-05-16T15:27:43.701606,902,45591.5,1,0.19263722232797056,902,43,100
2025-05-16T15:28:28.131789,903,43730.5,1,0.19167403621633072,903,41,100
2025-05-16T15:29:13.171921,904,43534.0,1,0.19071566603524906,904,41,100
2025-05-16T15:30:10.832905,905,52024.0,1,0.1897620877050728,905,54,100
2025-05-16T15:30:55.080824,906,41580.5,1,0.18881327726654742,906,40,100
2025-05-16T15:31:41.045561,907,45605.0,1,0.1878692108802147,907,42,100
2025-05-16T15:32:38.498682,908,50747.0,1,0.1869298648258136,908,54,100
2025-05-16T15:33:28.039099,909,49969.5,1,0.18599521550168455,909,46,100
2025-05-16T15:34:19.359442,910,49788.0,1,0.18506523942417613,910,47,100
2025-05-16T15:35:08.744882,911,48793.0,1,0.18413991322705525,911,46,100
2025-05-16T15:36:43.165227,912,90610.0,1,0.18321921366091998,912,48,0
2025-05-16T15:37:36.875361,913,50410.5,1,0.1823031175926154,913,50,100
2025-05-16T15:38:52.069578,914,83165.0,1,0.18139160200465232,914,43,100
2025-05-16T15:40:57.199976,915,134579.0,1,0.18048464399462905,915,42,0
2025-05-16T15:41:41.708189,916,47772.5,1,0.1795822207746559,916,41,100
2025-05-16T15:42:27.861863,917,48047.5,1,0.17868430967078264,917,43,100
2025-05-16T15:43:13.791357,918,50247.5,1,0.17779088812242871,918,43,100
2025-05-16T15:43:59.351359,919,48656.5,1,0.17690193368181656,919,42,100
2025-05-16T15:44:41.604529,920,42280.5,1,0.17601742401340748,920,39,100
2025-05-16T15:45:26.218820,921,47656.5,1,0.17513733689334043,921,41,100
2025-05-16T15:46:11.812112,922,49550.0,1,0.17426165020887374,922,42,100
2025-05-16T15:46:56.488335,923,47535.5,1,0.17339034195782937,923,42,100
2025-05-16T15:47:43.329706,924,48679.0,1,0.17252339024804023,924,44,100
2025-05-16T15:48:28.747362,925,50712.0,1,0.17166077329680002,925,42,100
2025-05-16T15:49:16.721757,926,54255.5,1,0.17080246943031602,926,45,100
2025-05-16T15:49:58.247622,927,42470.0,1,0.16994845708316444,927,38,100
2025-05-16T15:50:47.706204,928,51431.0,1,0.16909871479774863,928,46,100
2025-05-16T15:51:30.084976,929,43814.5,1,0.16825322122375988,929,39,100
2025-05-16T15:52:57.272274,930,97232.5,1,0.1674119551176411,930,43,100
2025-05-16T15:53:44.008234,931,49285.0,1,0.1665748953420529,931,44,100
2025-05-16T15:54:28.051415,932,47081.0,1,0.16574202086534262,932,41,100
2025-05-16T15:55:09.802658,933,43316.0,1,0.1649133107610159,933,38,100
2025-05-16T15:56:38.404492,934,97063.0,1,0.1640887442072108,934,43,0
2025-05-16T15:57:28.636362,935,51905.5,1,0.16326830048617474,935,47,100
2025-05-16T15:58:52.381857,936,90710.0,1,0.16245195898374387,936,40,100
2025-05-16T16:00:16.994441,937,91678.0,1,0.16163969918882515,937,40,100
2025-05-16T16:01:04.713501,938,51858.0,1,0.16083150069288102,938,45,100
2025-05-16T16:01:59.624958,939,49009.5,1,0.1600273431894166,939,52,100
2025-05-16T16:02:59.955032,940,53768.5,1,0.15922720647346952,940,57,100
2025-05-16T16:03:43.391905,941,42892.0,1,0.15843107044110216,941,40,100
2025-05-16T16:04:26.029138,942,45119.0,1,0.15763891508889666,942,40,100
2025-05-16T16:05:14.076850,943,51342.5,1,0.15685072051345217,943,45,100
2025-05-16T16:06:01.290322,944,49512.5,1,0.1560664669108849,944,44,100
2025-05-16T16:07:34.198236,945,102898.5,1,0.15528613457633048,945,44,0
2025-05-16T16:09:02.169922,946,93046.5,1,0.15450970390344881,946,44,0
2025-05-16T16:09:50.731163,947,51732.5,1,0.15373715538393157,947,45,100
2025-05-16T16:10:36.087838,948,48087.5,1,0.1529684696070119,948,42,100
2025-05-16T16:12:04.382239,949,93705.5,1,0.15220362725897685,949,44,100
2025-05-16T16:12:52.951548,950,51581.0,1,0.15144260912268195,950,45,100
2025-05-16T16:13:38.374792,951,48194.0,1,0.15068539607706855,951,42,100
2025-05-16T16:14:24.895665,952,48397.5,1,0.14993196909668322,952,43,100
2025-05-16T16:16:28.939283,953,135156.0,1,0.1491823092511998,953,41,100
